Year,Quarter,Region,Employed,Employed Male,Employed Female,Saudi Employed,Saudi Employed Male,Saudi Employed Female,Non-Saudi Employed,Non-Saudi Employed Male,Non-Saudi Employed Female
2016,4,Al Baha,85508,70775,14733,34206,21087,13119,51302,49688,1614
2016,4,Al Jouf,113078,98877,14201,38369,26278,12091,74709,72599,2110
2016,4,undefined,1536,1132,404,1022,619,403,514,513,1
2016,3,Ar Riyad ,3542915,3026668,516247,1339068,986259,352809,2203847,,
2016,3,Makkah,3341262,2946998,394264,1315752,1054427,261325,2025510,,
2016,3,Madinah,772752,642503,130249,365886,267873,98013,406866,,
2016,3,Al Qaseem,635135,519791,115344,304620,233794,70826,330515,,
2016,3,Eastern,2134101,1842555,291546,875230,714276,160954,1258871,,
2016,3,Aseer,811462,657833,153629,452184,351347,100837,359278,,
2016,3,Tabouk,340930,286978,53952,206069,164942,41127,134861,,
2016,3,Hail,261402,216626,44776,133731,108852,24879,127671,,
2016,3,Northern,140460,110527,29933,80611,60733,19878,59849,,
2016,3,Jazan,563959,452935,111024,342094,259608,82486,221865,,
2016,3,Najran,209571,175493,34078,103806,84937,18869,105765,,
2016,3,Al Baha,183022,148191,34831,108351,83559,24792,74671,,
2016,3,Al Jouf,191539,160283,31256,87961,69354,18607,103578,,
2016,2,Ar Riyad ,3355167,2753944,601223,1313657,1007562,306095,2041510,,
2016,2,Makkah,3281343,2738945,542398,1370551,1033813,336738,1910792,,
2016,2,Madinah,711601,613781,97820,337009,259179,77830,374592,,
2016,2,Al Qaseem,562169,462212,99957,282327,223547,58780,279842,,
2016,2,Eastern,2046194,1707833,338361,925518,731695,193823,1120676,,
2016,2,Aseer,676582,587572,89010,390501,329309,61192,286081,,
2016,2,Tabouk,329677,275862,53815,210918,169351,41567,118759,,
2016,2,Hail,245235,201610,43625,136081,109420,26661,109154,,
2016,2,Northern,137509,105583,31926,85880,62194,23686,51629,,
2016,2,Jazan,507578,411371,96207,313741,251259,62482,193837,,
2016,2,Najran,181807,156631,25176,97258,81879,15379,84549,,
2016,2,Al Baha,173763,140500,33263,109487,85332,24155,64276,,
